classification,count,percent,systems
Inside,17,37.0,Archaea (79 genomes);B cell repertoire;Baby names;CRISPR arrays;Chess openings;D. discoideum;Dog breeds;E. coli;F. albicollis;H. sapiens;P. aeruginosa;Pan-genomes (11 spp);Plant WGD;Pottery typologies;S. cerevisiae;S. pombe;T cell repertoire
Plausible,2,4.3,Cancer somatic;Software codebases
Boundary,4,8.7,CPR bacteria;DPANN archaea;Language (alpha~1);Patents (E9 fail)
Exit,3,6.5,Buchnera;Carsonella;N. equitans
Marginal,5,10.9,Cancer epigenomics;Neuronal avalanches;PPI networks;RNA World;WWW hyperlinks
Negative,15,32.6,Citations;Cities (alpha~1);City sizes;Earthquakes;Galaxy LF;Income/wealth;Internet AS;Mol. clouds;RNA viruses;Rivers;Sandpile/SOC;Solar flares;Stellar IMF;Stock returns;Turbulence
